source,target,source_name,target_name,role,sum_box_office,avg_box_office,avg_rating,movies
7623,9573,Sam Raimi,Peter Deming,Cinematographer,593579440.0,197859813,6.62,"[{""id"": 765, ""title"": ""Evil Dead II"", ""genre"": ""Horror"", ""link"": ""https://www.imdb.com/title/tt0092991/"", ""rating"": 7.557, ""revenue"": 10900000}, {""id"": 16871, ""title"": ""Drag Me to Hell"", ""genre"": ""Horror"", ""link"": ""https://www.imdb.com/title/tt1127180/"", ""rating"": 6.408, ""revenue"": 90810892}, {""id"": 68728, ""title"": ""Oz the Great and Powerful"", ""genre"": ""Fantasy"", ""link"": ""https://www.imdb.com/title/tt1623205/"", ""rating"": 5.9, ""revenue"": 491868548}]"
7623,11470,Sam Raimi,Edna Ruth Paul,Editor,29612367.0,29612367,7.3,"[{""id"": 764, ""title"": ""The Evil Dead"", ""genre"": ""Horror"", ""link"": ""https://www.imdb.com/title/tt0083907/"", ""rating"": 7.304, ""revenue"": 29612367}]"
7623,11469,Sam Raimi,Tim Philo,Cinematographer,29612367.0,29612367,7.3,"[{""id"": 764, ""title"": ""The Evil Dead"", ""genre"": ""Horror"", ""link"": ""https://www.imdb.com/title/tt0083907/"", ""rating"": 7.304, ""revenue"": 29612367}]"
7623,11757,Sam Raimi,Sonny Baskin,Editor,21502976.0,21502976,7.26,"[{""id"": 766, ""title"": ""Army of Darkness"", ""genre"": ""Fantasy"", ""link"": ""https://www.imdb.com/title/tt0106308/"", ""rating"": 7.265, ""revenue"": 21502976}]"
7623,800,Sam Raimi,Arthur Coburn,Editor,896146106.0,224036526,6.84,"[{""id"": 2046, ""title"": ""The Gift"", ""genre"": ""Horror"", ""link"": ""https://www.imdb.com/title/tt0219699/"", ""rating"": 6.42, ""revenue"": 12008642}, {""id"": 10223, ""title"": ""A Simple Plan"", ""genre"": ""Crime"", ""link"": ""https://www.imdb.com/title/tt0120324/"", ""rating"": 7.162, ""revenue"": 16316273}, {""id"": 10390, ""title"": ""For Love of the Game"", ""genre"": ""Drama"", ""link"": ""https://www.imdb.com/title/tt0126916/"", ""rating"": 6.488, ""revenue"": 46112640}, {""id"": 557, ""title"": ""Spider-Man"", ""genre"": ""Fantasy"", ""link"": ""https://www.imdb.com/title/tt0145487/"", ""rating"": 7.281, ""revenue"": 821708551}]"
7623,21039,Sam Raimi,Alar Kivilo,Cinematographer,16316273.0,16316273,7.16,"[{""id"": 10223, ""title"": ""A Simple Plan"", ""genre"": ""Crime"", ""link"": ""https://www.imdb.com/title/tt0120324/"", ""rating"": 7.162, ""revenue"": 16316273}]"
7623,1527,Sam Raimi,John Bailey,Cinematographer,46112640.0,46112640,6.49,"[{""id"": 10390, ""title"": ""For Love of the Game"", ""genre"": ""Drama"", ""link"": ""https://www.imdb.com/title/tt0126916/"", ""rating"": 6.488, ""revenue"": 46112640}]"
7623,7728,Sam Raimi,Basil Poledouris,Music Composer,46112640.0,46112640,6.49,"[{""id"": 10390, ""title"": ""For Love of the Game"", ""genre"": ""Drama"", ""link"": ""https://www.imdb.com/title/tt0126916/"", ""rating"": 6.488, ""revenue"": 46112640}]"
7623,950,Sam Raimi,Pietro Scalia,Editor,47000000.0,47000000,6.52,"[{""id"": 12106, ""title"": ""The Quick and the Dead"", ""genre"": ""Western"", ""link"": ""https://www.imdb.com/title/tt0114214/"", ""rating"": 6.522, ""revenue"": 47000000}]"
7623,11099,Sam Raimi,Dante Spinotti,Cinematographer,47000000.0,47000000,6.52,"[{""id"": 12106, ""title"": ""The Quick and the Dead"", ""genre"": ""Western"", ""link"": ""https://www.imdb.com/title/tt0114214/"", ""rating"": 6.522, ""revenue"": 47000000}]"
7623,37,Sam Raimi,Alan Silvestri,Music Composer,47000000.0,47000000,6.52,"[{""id"": 12106, ""title"": ""The Quick and the Dead"", ""genre"": ""Western"", ""link"": ""https://www.imdb.com/title/tt0114214/"", ""rating"": 6.522, ""revenue"": 47000000}]"
7623,25906,Sam Raimi,Tia Nolan,Editor,955775804.0,955775804,7.35,"[{""id"": 453395, ""title"": ""Doctor Strange in the Multiverse of Madness"", ""genre"": ""Fantasy"", ""link"": ""https://www.imdb.com/title/tt9419884/"", ""rating"": 7.349, ""revenue"": 955775804}]"
7623,943,Sam Raimi,John Mathieson,Cinematographer,955775804.0,955775804,7.35,"[{""id"": 453395, ""title"": ""Doctor Strange in the Multiverse of Madness"", ""genre"": ""Fantasy"", ""link"": ""https://www.imdb.com/title/tt9419884/"", ""rating"": 7.349, ""revenue"": 955775804}]"
7623,36,Sam Raimi,Don Burgess,Cinematographer,821708551.0,821708551,7.28,"[{""id"": 557, ""title"": ""Spider-Man"", ""genre"": ""Fantasy"", ""link"": ""https://www.imdb.com/title/tt0145487/"", ""rating"": 7.281, ""revenue"": 821708551}]"
6046,6051,Roland Emmerich,David Brenner,Editor,2376552630.0,594138158,6.59,"[{""id"": 435, ""title"": ""The Day After Tomorrow"", ""genre"": ""Action"", ""link"": ""https://www.imdb.com/title/tt0319262/"", ""rating"": 6.512, ""revenue"": 552639571}, {""id"": 602, ""title"": ""Independence Day"", ""genre"": ""Action"", ""link"": ""https://www.imdb.com/title/tt0116629/"", ""rating"": 6.869, ""revenue"": 817400891}, {""id"": 2024, ""title"": ""The Patriot"", ""genre"": ""Drama"", ""link"": ""https://www.imdb.com/title/tt0187393/"", ""rating"": 7.171, ""revenue"": 215294342}, {""id"": 14161, ""title"": ""2012"", ""genre"": ""Action"", ""link"": ""https://www.imdb.com/title/tt1190080/"", ""rating"": 5.824, ""revenue"": 791217826}]"
6046,6050,Roland Emmerich,Ueli Steiger,Cinematographer,1416732408.0,354183102,6.18,"[{""id"": 435, ""title"": ""The Day After Tomorrow"", ""genre"": ""Action"", ""link"": ""https://www.imdb.com/title/tt0319262/"", ""rating"": 6.512, ""revenue"": 552639571}, {""id"": 929, ""title"": ""Godzilla"", ""genre"": ""Science Fiction"", ""link"": ""https://www.imdb.com/title/tt0120685/"", ""rating"": 5.606, ""revenue"": 379014294}, {""id"": 2024, ""title"": ""The Patriot"", ""genre"": ""Drama"", ""link"": ""https://www.imdb.com/title/tt0187393/"", ""rating"": 7.171, ""revenue"": 215294342}, {""id"": 7840, ""title"": ""10,000 BC"", ""genre"": ""Adventure"", ""link"": ""https://www.imdb.com/title/tt0443649/"", ""rating"": 5.443, ""revenue"": 269784201}]"
6046,5430,Roland Emmerich,Harald Kloser,Music Composer,2291380720.0,327340103,6.04,"[{""id"": 435, ""title"": ""The Day After Tomorrow"", ""genre"": ""Action"", ""link"": ""https://www.imdb.com/title/tt0319262/"", ""rating"": 6.512, ""revenue"": 552639571}, {""id"": 7840, ""title"": ""10,000 BC"", ""genre"": ""Adventure"", ""link"": ""https://www.imdb.com/title/tt0443649/"", ""rating"": 5.443, ""revenue"": 269784201}, {""id"": 14161, ""title"": ""2012"", ""genre"": ""Action"", ""link"": ""https://www.imdb.com/title/tt1190080/"", ""rating"": 5.824, ""revenue"": 791217826}, {""id"": 61891, ""title"": ""Anonymous"", ""genre"": ""Drama"", ""link"": ""https://www.imdb.com/title/tt1521197/"", ""rating"": 6.4, ""revenue"": 15395087}, {""id"": 47933, ""title"": ""Independence Day: Resurgence"", ""genre"": ""Action"", ""link"": ""https://www.imdb.com/title/tt1628841/"", ""rating"": 5.286, ""revenue"": 389681935}, {""id"": 117251, ""title"": ""White House Down"", ""genre"": ""Action"", ""link"": ""https://www.imdb.com/title/tt2334879/"", ""rating"": 6.446, ""revenue"": 205366737}, {""id"": 406759, ""title"": ""Moonfall"", ""genre"": ""Science Fiction"", ""link"": ""https://www.imdb.com/title/tt5834426/"", ""rating"": 6.346, ""revenue"": 67295363}]"
6046,6049,Roland Emmerich,Thomas Wanker,Music Composer,2291380720.0,327340103,6.04,"[{""id"": 435, ""title"": ""The Day After Tomorrow"", ""genre"": ""Action"", ""link"": ""https://www.imdb.com/title/tt0319262/"", ""rating"": 6.512, ""revenue"": 552639571}, {""id"": 7840, ""title"": ""10,000 BC"", ""genre"": ""Adventure"", ""link"": ""https://www.imdb.com/title/tt0443649/"", ""rating"": 5.443, ""revenue"": 269784201}, {""id"": 14161, ""title"": ""2012"", ""genre"": ""Action"", ""link"": ""https://www.imdb.com/title/tt1190080/"", ""rating"": 5.824, ""revenue"": 791217826}, {""id"": 61891, ""title"": ""Anonymous"", ""genre"": ""Drama"", ""link"": ""https://www.imdb.com/title/tt1521197/"", ""rating"": 6.4, ""revenue"": 15395087}, {""id"": 47933, ""title"": ""Independence Day: Resurgence"", ""genre"": ""Action"", ""link"": ""https://www.imdb.com/title/tt1628841/"", ""rating"": 5.286, ""revenue"": 389681935}, {""id"": 117251, ""title"": ""White House Down"", ""genre"": ""Action"", ""link"": ""https://www.imdb.com/title/tt2334879/"", ""rating"": 6.446, ""revenue"": 205366737}, {""id"": 406759, ""title"": ""Moonfall"", ""genre"": ""Science Fiction"", ""link"": ""https://www.imdb.com/title/tt5834426/"", ""rating"": 6.346, ""revenue"": 67295363}]"
6046,8677,Roland Emmerich,Karl Walter Lindenlaub,Cinematographer,1013968153.0,506984076,6.92,"[{""id"": 602, ""title"": ""Independence Day"", ""genre"": ""Action"", ""link"": ""https://www.imdb.com/title/tt0116629/"", ""rating"": 6.869, ""revenue"": 817400891}, {""id"": 2164, ""title"": ""Stargate"", ""genre"": ""Action"", ""link"": ""https://www.imdb.com/title/tt0111282/"", ""rating"": 6.98, ""revenue"": 196567262}]"
6046,6489,Roland Emmerich,David Arnold,Music Composer,1392982447.0,464327482,6.48,"[{""id"": 602, ""title"": ""Independence Day"", ""genre"": ""Action"", ""link"": ""https://www.imdb.com/title/tt0116629/"", ""rating"": 6.869, ""revenue"": 817400891}, {""id"": 929, ""title"": ""Godzilla"", ""genre"": ""Science Fiction"", ""link"": ""https://www.imdb.com/title/tt0120685/"", ""rating"": 5.606, ""revenue"": 379014294}, {""id"": 2164, ""title"": ""Stargate"", ""genre"": ""Action"", ""link"": ""https://www.imdb.com/title/tt0111282/"", ""rating"": 6.98, ""revenue"": 196567262}]"
6046,10833,Roland Emmerich,Peter Amundson,Editor,379014294.0,379014294,5.61,"[{""id"": 929, ""title"": ""Godzilla"", ""genre"": ""Science Fiction"", ""link"": ""https://www.imdb.com/title/tt0120685/"", ""rating"": 5.606, ""revenue"": 379014294}]"
6046,58135,Roland Emmerich,Christopher Holmes,Editor,215294342.0,215294342,7.17,"[{""id"": 2024, ""title"": ""The Patriot"", ""genre"": ""Drama"", ""link"": ""https://www.imdb.com/title/tt0187393/"", ""rating"": 7.171, ""revenue"": 215294342}]"
6046,8750,Roland Emmerich,Caleb Deschanel,Cinematographer,215294342.0,215294342,7.17,"[{""id"": 2024, ""title"": ""The Patriot"", ""genre"": ""Drama"", ""link"": ""https://www.imdb.com/title/tt0187393/"", ""rating"": 7.171, ""revenue"": 215294342}]"
6046,491,Roland Emmerich,John Williams,Music Composer,215294342.0,215294342,7.17,"[{""id"": 2024, ""title"": ""The Patriot"", ""genre"": ""Drama"", ""link"": ""https://www.imdb.com/title/tt0187393/"", ""rating"": 7.171, ""revenue"": 215294342}]"
6046,1851,Roland Emmerich,Alexander Berner,Editor,269784201.0,269784201,5.44,"[{""id"": 7840, ""title"": ""10,000 BC"", ""genre"": ""Adventure"", ""link"": ""https://www.imdb.com/title/tt0443649/"", ""rating"": 5.443, ""revenue"": 269784201}]"
6046,57769,Roland Emmerich,Peter S. Elliot,Editor,791217826.0,791217826,5.82,"[{""id"": 14161, ""title"": ""2012"", ""genre"": ""Action"", ""link"": ""https://www.imdb.com/title/tt1190080/"", ""rating"": 5.824, ""revenue"": 791217826}]"
